units,dropout,dropout2,dense_units,dropout3,learning_rate,score
480,0.4,0.4,448,0.2,0.001,0.607031246026357
192,0.0,0.0,96,0.0,0.01,0.6025607585906982
160,0.1,0.0,256,0.1,0.0001,0.6025173465410868
256,0.1,0.0,288,0.0,0.01,0.601562519868215
128,0.4,0.0,320,0.4,0.01,0.6015625
224,0.30000000000000004,0.1,480,0.30000000000000004,0.01,0.6009114583333334
384,0.1,0.1,224,0.2,0.01,0.5990017453829447
320,0.0,0.1,512,0.2,0.01,0.598828117052714
320,0.30000000000000004,0.2,128,0.0,0.01,0.5980468591054281
480,0.4,0.4,416,0.30000000000000004,0.01,0.5936197837193807
